PlayerID,Date,Position,Metric,Value,Time,Impact Load Total (L+R),Average Intensity (L and R)
9,2023-10-18,Forward,Jump Height (Imp-Mom) in Inches [in] ,13.7,Pre,139110.55,15.72
9,2023-10-18,Forward,Jump Height (Imp-Mom) in Inches [in] ,13.7,Pre,139110.55,15.72
9,2023-10-25,Forward,Jump Height (Imp-Mom) in Inches [in] ,14.7,Pre,72515.8,10.64
10,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,13.4,Pre,95542.01,11.71
10,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,13.5,Pre,79973.75,11.82
10,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,12.2,Pre,82329.05,11.96
10,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,14.5,Pre,92973.26,14.45
10,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,13.5,Pre,98554.06,13.85
10,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,12.2,Pre,34248.69,11.14
10,2023-10-17,Guard,Jump Height (Imp-Mom) in Inches [in] ,12.0,Pre,113702.59,13.24
10,2023-10-18,Guard,Jump Height (Imp-Mom) in Inches [in] ,12.1,Pre,108491.67,12.6
11,2023-09-19,Forward,Jump Height (Imp-Mom) in Inches [in] ,16.8,Pre,136593.97,16.05
11,2023-09-20,Forward,Jump Height (Imp-Mom) in Inches [in] ,16.6,Pre,124365.7,17.13
11,2023-09-27,Forward,Jump Height (Imp-Mom) in Inches [in] ,17.1,Pre,121885.49,17.94
11,2023-10-03,Forward,Jump Height (Imp-Mom) in Inches [in] ,17.2,Pre,117144.51,16.45
11,2023-10-04,Forward,Jump Height (Imp-Mom) in Inches [in] ,39.4,Pre,57890.61,17.02
11,2023-10-24,Forward,Jump Height (Imp-Mom) in Inches [in] ,17.5,Pre,126523.57,15.93
11,2023-10-25,Forward,Jump Height (Imp-Mom) in Inches [in] ,16.8,Pre,141230.53,16.41
12,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.0,Pre,72445.34,11.36
