ForceDecks Raw Data Export,2.0
Weight,65.76
Frequency,1000
Recording Date,2023-09-15T11:50:28
Recording Info,Jump;2.0.8587
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,4219,FDL2-FW2R6-HW3R5,4218 (Post-analysis Trial 2)"
Analysis Date,2023-09-15T11:50:55
AthleteId,ef61b498-0be5-4865-bec4-0a009bf62d87

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right,,Acceleration,Velocity,Height,Power,Impulse
31.458,364.836478,-11.850288,-12.128281,278.302854,-20.840008,12.178845,,72.149492,100.002298,64.841074,127.843614,44.341195,102.674286,12.900581,118.386792,,0,0,0,0,0
31.459,366.586478,-11.374307,-11.629492,277.802854,-19.991997,13.752225,,71.899492,101.502298,64.841074,128.343614,44.091195,103.674286,12.650581,117.386792,,0,0,0,0,0
31.46,367.086478,-11.693886,-11.907179,278.302854,-20.177062,11.791677,,72.649492,100.752298,65.341074,128.343614,43.591195,103.174286,13.150581,118.386792,,0,0,0,0,0
31.461,367.086478,-11.861421,-12.200707,278.552854,-20.269345,13.134966,,72.399492,100.752298,65.091074,128.843614,44.591195,103.174286,13.150581,117.636792,,0,0,0,0,0
31.462,366.836478,-11.115081,-10.887247,278.302854,-20.398044,12.953181,,72.149492,102.002298,64.841074,127.843614,43.841195,103.674286,12.400581,118.386792,,0,0,0,0,0
31.463,365.586478,-11.573643,-11.071839,279.052854,-19.571862,12.725304,,72.399492,101.002298,64.591074,127.593614,43.841195,103.924286,13.400581,117.886792,,0,0,0,0,0
31.464,364.086478,-11.959157,-10.525561,278.802854,-19.699704,12.929951,,72.399492,100.752298,63.591074,127.343614,44.091195,103.674286,13.400581,117.636792,,0,0,0,0,0
31.465,364.836478,-11.850288,-11.537606,279.302854,-20.545203,13.678368,,71.899492,100.752298,64.091074,128.093614,44.591195,103.924286,12.400581,118.386792,,0,0,0,0,0
31.466,365.586478,-11.573643,-11.071839,277.802854,-21.098897,12.976495,,71.899492,101.502298,64.091074,128.093614,44.841195,102.424286,12.650581,117.886792,,0,0,0,0,0
31.467,366.586478,-12.213127,-12.217348,278.802854,-20.361462,12.543478,,72.399492,100.502298,64.591074,129.093614,44.091195,103.424286,12.900581,118.386792,,0,0,0,0,0
31.468,366.086478,-12.061815,-11.056717,277.552854,-20.563953,13.958719,,72.649492,101.002298,64.091074,128.343614,44.341195,103.424286,12.150581,117.636792,,0,0,0,0,0
31.469,366.586478,-11.374307,-11.629492,278.802854,-20.361462,13.316425,,72.149492,101.252298,65.091074,128.093614,44.341195,103.674286,12.650581,118.136792,,0,0,0,0,0
31.47,365.836478,-11.145464,-12.095129,278.302854,-20.177062,12.566013,,71.649492,101.002298,65.341074,127.843614,43.591195,103.674286,12.650581,118.386792,,0,0,0,0,0
31.471,363.336478,-11.729946,-12.178352,278.052854,-19.863431,13.158586,,71.149492,100.252298,64.091074,127.843614,43.841195,103.674286,12.900581,117.636792,,0,0,0,0,0
31.472,365.586478,-11.741866,-11.071839,278.802854,-19.92029,12.157004,,72.149492,101.252298,64.091074,128.093614,43.591195,103.674286,13.150581,118.386792,,0,0,0,0,0
31.473,366.336478,-11.466009,-11.784493,278.052854,-20.305793,13.546102,,72.399492,100.752298,65.341074,127.843614,44.091195,103.674286,12.400581,117.886792,,0,0,0,0,0
31.474,367.086478,-11.52635,-9.852486,279.302854,-20.104821,12.135241,,73.399492,101.752298,64.591074,127.343614,43.841195,103.674286,13.150581,118.636792,,0,0,0,0,0
31.475,364.586478,-11.942756,-11.693287,280.302854,-20.252501,13.245164,,71.899492,100.502298,64.091074,128.093614,44.841195,103.924286,13.150581,118.386792,,0,0,0,0,0
31.476,365.336478,-11.665732,-10.931948,279.052854,-20.453415,13.497559,,72.649492,100.752298,64.591074,127.343614,44.591195,103.674286,12.650581,118.136792,,0,0,0,0,0
31.477,366.086478,-12.229808,-11.056717,278.302854,-19.956079,11.791677,,72.899492,100.752298,64.091074,128.343614,43.591195,103.174286,13.400581,118.136792,,0,0,0,0,0
31.478,365.586478,-11.741866,-11.366571,279.552854,-19.316862,13.473418,,72.649492,100.502298,64.841074,127.593614,44.091195,104.424286,13.400581,117.636792,,0,0,0,0,0
31.479,366.336478,-11.633887,-11.784493,279.552854,-19.976844,13.473418,,72.399492,100.752298,65.091074,128.093614,44.091195,104.424286,12.650581,118.386792,,0,0,0,0,0
31.48,365.586478,-11.573643,-11.366571,278.302854,-20.177062,11.791677,,72.149492,101.002298,64.591074,127.843614,43.591195,103.174286,13.150581,118.386792,,0,0,0,0,0
31.481,364.336478,-11.360151,-11.55344,278.302854,-19.956079,12.566013,,71.149492,101.252298,64.091074,127.843614,43.591195,103.674286,12.900581,118.136792,,0,0,0,0,0
31.482,365.336478,-11.497394,-10.931948,278.302854,-20.398044,12.953181,,71.899492,101.502298,64.091074,127.843614,44.091195,103.424286,12.650581,118.136792,,0,0,0,0,0
31.483,365.836478,-11.986003,-11.211538,277.802854,-19.991997,14.14009,,72.649492,100.752298,64.341074,128.093614,44.341195,103.674286,12.650581,117.136792,,0,0,0,0,0
31.484,366.086478,-12.061815,-11.645376,278.802854,-20.361462,12.929951,,72.399492,100.752298,64.341074,128.593614,44.341195,103.424286,12.900581,118.136792,,0,0,0,0,0
31.485,364.086478,-11.452409,-12.005292,278.052854,-20.305793,12.77107,,71.149492,100.752298,64.341074,127.843614,44.091195,103.174286,12.900581,117.886792,,0,0,0,0,0
31.486,365.836478,-11.817896,-12.095129,278.552854,-20.269345,13.521787,,71.899492,100.752298,64.591074,128.593614,44.341195,103.674286,12.650581,117.886792,,0,0,0,0,0
31.487,365.086478,-11.589493,-11.677273,278.052854,-20.305793,12.77107,,72.149492,100.502298,64.841074,127.593614,44.091195,103.174286,12.900581,117.886792,,0,0,0,0,0
31.488,367.586478,-11.343364,-11.597855,279.552854,-20.416833,11.93167,,72.399492,101.502298,65.341074,128.343614,44.091195,103.424286,13.150581,118.886792,,0,0,0,0,0
31.489,363.836478,-11.544794,-10.680868,278.802854,-20.140876,11.77053,,71.899492,101.002298,63.841074,127.093614,43.591195,103.424286,13.150581,118.636792,,0,0,0,0,0
31.49,364.586478,-11.774072,-11.397747,279.302854,-20.325012,13.678368,,71.899492,100.752298,64.091074,127.843614,44.591195,103.924286,12.650581,118.136792,,0,0,0,0,0
31.491,364.086478,-11.790241,-11.117454,278.302854,-20.398044,14.114686,,72.149492,100.502298,64.091074,127.343614,44.591195,103.674286,12.400581,117.636792,,0,0,0,0,0
