Metric,Date,t-statistic,p-value (t-test),W-statistic,p-value (Wilcoxon),Effect Size (Cohen's d)
Eccentric Braking RFD / BM [N/s/kg],2023-10-03,28.15769890298697,2.2241143210062845e-144,211484.0,1.1217354793694028e-155,0.45779782821664666
Eccentric Braking RFD / BM [N/s/kg],2023-10-04,4.880193196607548,2.229634584775683e-06,6048.0,2.9356741110312684e-05,0.3247066374794683
Eccentric Braking RFD / BM [N/s/kg],2023-10-10,0.9334556306039881,0.3934336815812033,3.0,0.22491588401596185,0.21191235482883952
Eccentric Braking RFD / BM [N/s/kg],2023-10-11,-0.7068118461242128,0.4799582683746031,75150.0,0.0003949832694940412,-0.014211943216714418
Eccentric Braking RFD / BM [N/s/kg],2023-10-17,70.6618828438104,0.0,0.0,5.564380647094652e-191,1.0356117986564228
Eccentric Braking RFD / BM [N/s/kg],2023-10-24,18.047950163899834,6.599845875567135e-61,55100.0,7.737712973716579e-51,0.5102851192899033
Eccentric Braking RFD / BM [N/s/kg],2023-10-25,5.409401642651814,1.1376525104615838e-07,30816.0,0.0734604267214683,0.17466406330593007
Eccentric Braking RFD / BM [N/s/kg],2023-09-20,20.66792323691935,1.4658832660157442e-73,37355.5,4.0020126180960635e-49,0.408924780185934
Eccentric Braking RFD / BM [N/s/kg],2023-10-18,13.950487554888237,1.357110482914407e-37,30150.0,3.492451684285712e-24,0.48735882711837064
Eccentric Braking Impulse [N s],2023-09-19,26.466651038234243,5.425518299304332e-128,198077.0,2.7893486106102378e-121,0.5781420094879943
Eccentric Braking Impulse [N s],2023-09-26,20.503016393684103,4.2119446985368246e-72,19753.0,7.589871224355994e-70,0.20472513819150104
Eccentric Braking Impulse [N s],2023-09-27,7.231881416682724,1.4000920526236969e-12,62624.0,6.098045330953159e-15,0.13700233889148708
Eccentric Braking Impulse [N s],2023-10-03,32.1139998693146,1.4301327639646114e-178,211582.0,2.6249712127433386e-155,0.347466548037752
Eccentric Braking Impulse [N s],2023-10-04,7.540042664493614,1.84751184349646e-12,4248.0,7.305774729630763e-11,0.20470190826205728
Eccentric Braking Impulse [N s],2023-10-10,-0.5065848872038213,0.6339884055495679,7.0,0.5625,-0.09143294694748817
Eccentric Braking Impulse [N s],2023-10-11,10.684440974237882,1.6500756472323378e-24,40100.0,2.9622292237340076e-32,0.25976208501988374
Eccentric Braking Impulse [N s],2023-10-17,37.93799433467594,7.526731337847634e-205,47489.0,1.2107469009622545e-140,0.42360144906140634
Eccentric Braking Impulse [N s],2023-10-24,20.50313603949233,9.346947346075867e-75,45150.0,6.117967117755907e-62,0.549859184537969
Eccentric Braking Impulse [N s],2023-10-25,11.527327419562049,1.7778032318671057e-26,8385.0,7.659604539980974e-37,0.4526479712717957
Eccentric Braking Impulse [N s],2023-09-20,28.018883759482293,2.0479413812038977e-114,13203.0,1.1063866588113596e-85,0.6193655095413959
Eccentric Braking Impulse [N s],2023-10-18,14.181871098676856,1.3026951320010414e-38,35150.0,8.354502432407466e-18,0.5719912252079796
Force at Zero Velocity / BM [N/kg],2023-09-19,50.49687133910771,0.0,34122.0,8.653611590148722e-232,0.9540945404867119
