ForceDecks Raw Data Export,2.0
Weight,61.51
Frequency,1000
Recording Date,2023-10-17T09:23:17
Recording Info,Jump;2.0.8587
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,4251,FDL2-FW2R6-HW3R5,4248 (Post-analysis Trial 1)"
Analysis Date,2023-10-17T09:23:36
AthleteId,32d95336-22f1-46d5-8339-2bb0b8972d90

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right,,Acceleration,Velocity,Height,Power,Impulse
14.659,260.769063,-0.310293,54.4207,342.857455,5.765259,45.809015,,66.340821,96.97001,33.0856,64.372632,110.987251,96.882224,82.581714,52.406265,,0,0,0,0,0
14.66,260.519063,0.515645,54.266125,341.357455,5.970756,45.694659,,65.340821,97.72001,33.0856,64.372632,110.487251,96.382224,82.581714,51.906265,,0,0,0,0,0
14.661,259.769063,-0.311487,56.704154,341.857455,6.321822,45.943016,,67.090821,96.97001,32.5856,63.122632,110.487251,96.882224,82.831714,51.656265,,0,0,0,0,0
14.662,260.269063,-0.074595,55.353236,342.357455,5.953316,45.561188,,66.590821,96.97001,33.0856,63.622632,110.987251,96.382224,83.081714,51.906265,,0,0,0,0,0
14.663,260.269063,-0.310889,54.525247,341.357455,5.790593,45.694659,,66.090821,96.97001,32.8356,64.372632,110.987251,95.882224,82.831714,51.656265,,0,0,0,0,0
14.664,258.269063,-0.313296,55.781884,342.607455,6.038724,45.685192,,65.840821,96.72001,32.0856,63.622632,110.987251,96.632224,83.081714,51.906265,,0,0,0,0,0
14.665,259.769063,-0.074739,55.45978,342.357455,6.132952,45.246458,,66.340821,96.97001,32.8356,63.622632,110.237251,96.882224,82.831714,52.406265,,0,0,0,0,0
14.666,259.769063,-0.548236,54.215405,341.357455,5.790593,46.01031,,66.090821,96.47001,32.8356,64.372632,110.987251,96.132224,82.581714,51.656265,,0,0,0,0,0
14.667,260.269063,-0.310889,54.939242,341.607455,5.696339,45.818928,,66.340821,96.97001,32.8356,64.122632,110.487251,96.632224,82.081714,52.406265,,0,0,0,0,0
14.668,259.519063,-0.667253,54.890418,343.607455,6.200133,45.23865,,66.090821,96.72001,32.3356,64.372632,110.737251,97.132224,83.331714,52.406265,,0,0,0,0,0
14.669,260.019063,-0.192927,55.613653,341.607455,6.236433,45.818928,,65.840821,97.72001,32.0856,64.372632,110.237251,96.882224,82.581714,51.906265,,0,0,0,0,0
14.67,260.769063,-0.546134,54.833901,342.107455,6.586854,45.751962,,66.590821,96.97001,32.8356,64.372632,110.237251,97.132224,83.081714,51.656265,,0,0,0,0,0
14.671,260.019063,0.516636,54.370475,342.357455,6.132952,45.246458,,65.840821,96.97001,33.5856,63.622632,110.237251,96.882224,82.831714,52.406265,,0,0,0,0,0
14.672,259.769063,0.16201,55.874571,342.107455,5.688014,45.751962,,66.090821,97.47001,32.5856,63.622632,110.987251,96.382224,82.581714,52.156265,,0,0,0,0,0
14.673,259.519063,0.043678,55.30561,341.607455,6.056402,45.818928,,66.090821,96.97001,32.8356,63.622632,110.487251,96.632224,82.581714,51.906265,,0,0,0,0,0
14.674,258.769063,-0.075027,56.50689,341.607455,5.516308,45.503507,,66.340821,96.97001,32.3356,63.122632,110.987251,95.882224,82.581714,52.156265,,0,0,0,0,0
14.675,260.019063,-0.429448,55.613653,343.107455,6.029924,44.990533,,66.090821,97.47001,32.0856,64.372632,110.987251,96.382224,83.581714,52.156265,,0,0,0,0,0
14.676,260.519063,-0.428624,55.920514,342.357455,5.773679,45.875917,,66.340821,97.72001,32.0856,64.372632,110.987251,96.632224,82.581714,52.156265,,0,0,0,0,0
14.677,260.769063,-0.074452,55.247102,341.107455,5.524394,46.517856,,66.340821,97.47001,32.8356,64.122632,111.237251,96.132224,82.081714,51.656265,,0,0,0,0,0
14.678,259.269063,0.636733,54.735551,341.357455,5.970756,45.694659,,65.090821,97.47001,32.8356,63.872632,110.487251,96.382224,82.581714,51.906265,,0,0,0,0,0
14.679,259.019063,-0.431106,54.580384,342.107455,6.04755,44.807084,,65.840821,96.47001,32.5856,64.122632,110.737251,95.882224,83.581714,51.906265,,0,0,0,0,0
14.68,259.519063,0.043678,54.890418,341.357455,6.511245,46.01031,,65.840821,96.97001,32.8356,63.872632,109.987251,97.132224,82.581714,51.656265,,0,0,0,0,0
14.681,259.019063,-0.193672,54.996377,341.107455,5.344099,45.88609,,66.090821,96.47001,32.8356,63.622632,110.987251,95.882224,82.081714,52.156265,,0,0,0,0,0
14.682,260.519063,0.04351,55.506917,341.107455,5.344099,46.201973,,66.340821,97.47001,32.8356,63.872632,110.987251,96.132224,81.831714,52.156265,,0,0,0,0,0
14.683,259.519063,-0.193299,54.890418,342.107455,5.688014,46.066922,,66.340821,96.47001,33.0856,63.622632,111.237251,96.382224,82.581714,51.906265,,0,0,0,0,0
14.684,259.269063,0.399528,55.982325,341.357455,5.970756,45.694659,,66.090821,97.22001,32.8356,63.122632,110.737251,96.132224,82.831714,51.656265,,0,0,0,0,0
14.685,259.519063,0.043678,54.890418,340.857455,6.159941,46.393917,,66.090821,96.72001,33.0856,63.622632,110.237251,96.882224,82.081714,51.656265,,0,0,0,0,0
14.686,260.019063,0.043594,55.19926,342.107455,6.04755,46.381881,,65.840821,97.47001,32.5856,64.122632,110.987251,96.882224,82.581714,51.656265,,0,0,0,0,0
14.687,260.269063,0.397993,54.525247,340.857455,6.159941,45.761688,,65.840821,97.22001,33.3356,63.872632,110.237251,96.382224,82.581714,51.656265,,0,0,0,0,0
14.688,260.519063,-0.192557,55.093319,342.357455,6.312589,46.190647,,66.340821,97.22001,32.8356,64.122632,110.987251,96.882224,83.081714,51.406265,,0,0,0,0,0
14.689,259.519063,0.517631,55.720801,342.107455,5.688014,45.751962,,65.840821,97.47001,32.8356,63.372632,110.987251,96.382224,82.581714,52.156265,,0,0,0,0,0
14.69,259.269063,-0.074883,55.151142,342.357455,5.594042,45.246458,,65.840821,96.97001,32.5856,63.872632,110.737251,96.382224,82.581714,52.656265,,0,0,0,0,0
14.691,260.019063,-0.429448,54.784868,340.857455,5.799087,46.077802,,66.340821,96.72001,32.8356,64.122632,110.987251,95.882224,82.581714,51.406265,,0,0,0,0,0
14.692,260.269063,-0.074595,56.181226,340.857455,5.438232,45.761688,,66.340821,97.72001,32.3356,63.872632,110.737251,95.882224,82.081714,52.156265,,0,0,0,0,0
14.693,259.519063,-0.430276,55.30561,342.857455,5.765259,45.494745,,66.340821,96.72001,32.5856,63.872632,110.987251,96.632224,82.831714,52.406265,,0,0,0,0,0
14.694,259.769063,-0.311487,54.215405,342.107455,5.867782,45.122043,,65.840821,96.72001,32.8356,64.372632,110.737251,96.132224,83.081714,52.156265,,0,0,0,0,0
14.695,259.269063,0.162323,56.397916,341.857455,5.602224,45.943016,,66.090821,97.47001,32.3356,63.372632,110.987251,96.382224,82.331714,52.156265,,0,0,0,0,0
14.696,259.769063,0.16201,55.044988,341.357455,5.790593,46.325962,,66.090821,96.97001,33.0856,63.622632,110.987251,96.382224,82.331714,51.656265,,0,0,0,0,0
14.697,258.519063,0.28174,55.102745,342.357455,5.773679,45.561188,,65.840821,96.47001,33.0856,63.122632,110.987251,96.382224,82.831714,52.156265,,0,0,0,0,0
14.698,259.769063,-0.074739,55.45978,341.607455,6.236433,46.449769,,66.340821,96.97001,32.8356,63.622632,110.737251,96.882224,82.581714,51.406265,,0,0,0,0,0
14.699,260.519063,-0.428624,54.679722,341.357455,5.430267,45.379007,,66.340821,96.97001,32.8356,64.372632,110.987251,95.632224,82.581714,52.156265,,0,0,0,0,0
14.7,260.019063,0.280115,54.370475,341.607455,5.516308,45.188087,,65.840821,96.97001,33.3356,63.872632,110.487251,96.132224,82.331714,52.656265,,0,0,0,0,0
14.701,259.019063,0.281196,54.996377,341.607455,5.516308,45.818928,,65.840821,96.72001,33.0856,63.372632,110.737251,96.382224,82.081714,52.406265,,0,0,0,0,0
14.702,258.519063,-0.194047,55.102745,341.857455,5.602224,46.258205,,65.840821,96.47001,32.5856,63.622632,111.487251,96.132224,82.581714,51.656265,,0,0,0,0,0
14.703,259.019063,0.281196,54.996377,341.357455,5.61043,45.379007,,65.590821,96.97001,32.8356,63.622632,110.487251,96.132224,82.331714,52.406265,,0,0,0,0,0
14.704,260.019063,0.043594,55.613653,341.357455,5.250104,46.325962,,66.340821,97.22001,32.8356,63.622632,110.987251,96.382224,81.581714,52.406265,,0,0,0,0,0
14.705,259.769063,-0.074739,54.215405,341.607455,5.336277,45.818928,,65.590821,96.97001,32.8356,64.372632,110.987251,96.132224,82.081714,52.406265,,0,0,0,0,0
14.706,258.769063,0.4003,54.424918,342.107455,6.227318,45.751962,,65.340821,96.72001,33.0856,63.622632,110.737251,96.632224,83.081714,51.656265,,0,0,0,0,0
14.707,259.019063,-0.668541,53.748399,341.107455,6.245574,44.938441,,65.840821,95.97001,32.8356,64.372632,109.737251,96.382224,82.831714,52.156265,,0,0,0,0,0
14.708,260.269063,-0.310889,55.353236,341.107455,5.704689,45.254324,,66.590821,96.97001,32.8356,63.872632,110.737251,95.632224,82.831714,51.906265,,0,0,0,0,0
14.709,258.519063,0.043847,55.519542,341.857455,5.422324,45.627826,,65.590821,96.97001,32.3356,63.622632,111.237251,95.882224,82.581714,52.156265,,0,0,0,0,0
14.71,259.519063,0.280655,55.30561,341.857455,5.242425,46.258205,,65.840821,97.22001,32.8356,63.622632,111.237251,96.382224,81.831714,52.406265,,0,0,0,0,0
14.711,259.519063,0.280655,54.475227,342.357455,5.594042,45.875917,,65.840821,96.72001,33.3356,63.622632,111.237251,96.382224,82.581714,52.156265,,0,0,0,0,0
14.712,257.769063,-0.313904,55.890085,340.357455,5.265529,46.462071,,65.840821,96.47001,32.0856,63.372632,110.987251,95.882224,81.581714,51.906265,,0,0,0,0,0
14.713,260.019063,-0.429448,55.19926,341.107455,5.884984,45.570207,,66.340821,96.97001,32.5856,64.122632,110.737251,95.882224,82.831714,51.656265,,0,0,0,0,0
