Metric,Date,Position,t-statistic,p-value (t-test),W-statistic,p-value (Wilcoxon),Effect Size (Cohen's d)
RSI-modified (Imp-Mom) [m/s],2023-10-03,Forward,6.4752275194445055,2.002177317858294e-10,19306.0,9.890589761095449e-19,0.13855707791708766
RSI-modified (Imp-Mom) [m/s],2023-10-03,Guard,28.813012154211798,1.4537708051903195e-138,77028.0,5.244263078792852e-119,0.5620079599082924
RSI-modified (Imp-Mom) [m/s],2023-10-03,,,,,,
RSI-modified (Imp-Mom) [m/s],2023-10-04,Forward,5.709084255095983,3.2946700293332785e-07,528.0,0.000559890647739198,1.0951395556376147
RSI-modified (Imp-Mom) [m/s],2023-10-04,Guard,7.448854737018566,1.2701559826878165e-11,1816.0,3.4501204456256075e-08,0.4721311531358188
RSI-modified (Imp-Mom) [m/s],2023-10-04,,,,,,
RSI-modified (Imp-Mom) [m/s],2023-10-10,Forward,,,0.0,1.0,
RSI-modified (Imp-Mom) [m/s],2023-10-10,Guard,1.1043525680662833,0.3314015006817415,2.0,0.27332167829229814,0.3083728953845268
RSI-modified (Imp-Mom) [m/s],2023-10-10,,,,,,
RSI-modified (Imp-Mom) [m/s],2023-10-11,Forward,inf,0.0,0.0,1.523970604832094e-23,79662667573185.72
RSI-modified (Imp-Mom) [m/s],2023-10-11,Guard,-21.04529311784723,7.532460198915485e-71,5050.0,1.1437596369480441e-71,-0.9047180382208414
RSI-modified (Imp-Mom) [m/s],2023-10-11,,,,,,
RSI-modified (Imp-Mom) [m/s],2023-10-17,Forward,46.1386798443321,2.7939914579370528e-160,0.0,3.05837865032028e-70,0.5146893714188124
RSI-modified (Imp-Mom) [m/s],2023-10-17,Guard,69.27863076480018,0.0,0.0,1.046144963970056e-127,0.5007007161244602
RSI-modified (Imp-Mom) [m/s],2023-10-17,,,,,,
RSI-modified (Imp-Mom) [m/s],2023-10-24,Forward,-2.0329949088459924e+16,0.0,0.0,9.640853349783355e-37,-0.5319983291536012
