PlayerID,Date,Position,Metric,Value,Time
14,2023-09-19,Forward,Impact Load Total (L+R),100571.84,Pre
14,2023-09-20,Forward,Impact Load Total (L+R),123808.85,Pre
14,2023-09-26,Forward,Impact Load Total (L+R),62430.89,Pre
14,2023-09-27,Forward,Impact Load Total (L+R),47710.88,Pre
14,2023-10-03,Forward,Impact Load Total (L+R),64007.05,Pre
14,2023-10-04,Forward,Impact Load Total (L+R),37031.31,Pre
1,2023-09-19,Forward,Average Intensity (L and R),13.64,Pre
2,2023-09-19,Guard,Average Intensity (L and R),9.99,Pre
2,2023-09-26,Guard,Average Intensity (L and R),8.88,Pre
2,2023-09-27,Guard,Average Intensity (L and R),9.35,Pre
2,2023-10-03,Guard,Average Intensity (L and R),10.6,Pre
2,2023-10-04,Guard,Average Intensity (L and R),10.16,Pre
2,2023-10-10,Guard,Average Intensity (L and R),9.55,Pre
2,2023-10-11,Guard,Average Intensity (L and R),9.79,Pre
2,2023-10-17,Guard,Average Intensity (L and R),8.24,Pre
2,2023-10-24,Guard,Average Intensity (L and R),9.07,Pre
2,2023-10-25,Guard,Average Intensity (L and R),9.86,Pre
3,2023-09-19,Guard,Average Intensity (L and R),10.68,Pre
3,2023-09-20,Guard,Average Intensity (L and R),13.42,Pre
3,2023-10-03,Guard,Average Intensity (L and R),11.74,Pre
3,2023-10-04,Guard,Average Intensity (L and R),11.15,Pre
3,2023-10-11,Guard,Average Intensity (L and R),13.3,Pre
3,2023-10-24,Guard,Average Intensity (L and R),11.23,Pre
3,2023-10-25,Guard,Average Intensity (L and R),11.02,Pre
4,2023-09-19,Guard,Average Intensity (L and R),10.99,Pre
4,2023-09-20,Guard,Average Intensity (L and R),11.64,Pre
4,2023-09-26,Guard,Average Intensity (L and R),8.91,Pre
4,2023-09-27,Guard,Average Intensity (L and R),11.59,Pre
4,2023-10-03,Guard,Average Intensity (L and R),10.52,Pre
4,2023-10-04,Guard,Average Intensity (L and R),9.82,Pre
4,2023-10-10,Guard,Average Intensity (L and R),9.81,Pre
4,2023-10-11,Guard,Average Intensity (L and R),10.86,Pre
4,2023-10-17,Guard,Average Intensity (L and R),11.25,Pre
4,2023-10-24,Guard,Average Intensity (L and R),10.52,Pre
4,2023-10-25,Guard,Average Intensity (L and R),11.18,Pre
5,2023-09-19,Guard,Average Intensity (L and R),11.06,Pre
5,2023-09-20,Guard,Average Intensity (L and R),11.42,Pre
5,2023-09-26,Guard,Average Intensity (L and R),10.92,Pre
5,2023-09-27,Guard,Average Intensity (L and R),9.81,Pre
5,2023-10-04,Guard,Average Intensity (L and R),9.78,Pre
5,2023-10-10,Guard,Average Intensity (L and R),10.81,Pre
5,2023-10-24,Guard,Average Intensity (L and R),10.24,Pre
5,2023-10-25,Guard,Average Intensity (L and R),9.5,Pre
6,2023-09-19,Guard,Average Intensity (L and R),11.51,Pre
6,2023-09-20,Guard,Average Intensity (L and R),13.67,Pre
6,2023-09-26,Guard,Average Intensity (L and R),11.45,Pre
6,2023-09-27,Guard,Average Intensity (L and R),13.51,Pre
6,2023-10-03,Guard,Average Intensity (L and R),13.09,Pre
6,2023-10-04,Guard,Average Intensity (L and R),12.18,Pre
6,2023-10-10,Guard,Average Intensity (L and R),12.22,Pre
6,2023-10-11,Guard,Average Intensity (L and R),14.75,Pre
6,2023-10-25,Guard,Average Intensity (L and R),17.92,Pre
7,2023-09-19,Guard,Average Intensity (L and R),11.8,Pre
7,2023-09-27,Guard,Average Intensity (L and R),9.28,Pre
7,2023-10-04,Guard,Average Intensity (L and R),9.41,Pre
7,2023-10-11,Guard,Average Intensity (L and R),12.09,Pre
7,2023-10-18,Guard,Average Intensity (L and R),11.93,Pre
7,2023-10-24,Guard,Average Intensity (L and R),11.52,Pre
8,2023-09-19,Guard,Average Intensity (L and R),17.38,Pre
8,2023-09-20,Guard,Average Intensity (L and R),15.49,Pre
9,2023-09-19,Forward,Average Intensity (L and R),11.65,Pre
9,2023-09-27,Forward,Average Intensity (L and R),14.92,Pre
9,2023-10-03,Forward,Average Intensity (L and R),14.25,Pre
9,2023-10-04,Forward,Average Intensity (L and R),11.41,Pre
9,2023-10-17,Forward,Average Intensity (L and R),14.22,Pre
9,2023-10-18,Forward,Average Intensity (L and R),15.72,Pre
9,2023-10-18,Forward,Average Intensity (L and R),15.72,Pre
9,2023-10-25,Forward,Average Intensity (L and R),10.64,Pre
10,2023-09-19,Guard,Average Intensity (L and R),11.71,Pre
10,2023-09-20,Guard,Average Intensity (L and R),11.82,Pre
10,2023-09-26,Guard,Average Intensity (L and R),11.96,Pre
10,2023-09-27,Guard,Average Intensity (L and R),14.45,Pre
10,2023-10-03,Guard,Average Intensity (L and R),13.85,Pre
10,2023-10-04,Guard,Average Intensity (L and R),11.14,Pre
10,2023-10-17,Guard,Average Intensity (L and R),13.24,Pre
10,2023-10-18,Guard,Average Intensity (L and R),12.6,Pre
11,2023-09-19,Forward,Average Intensity (L and R),16.05,Pre
11,2023-09-20,Forward,Average Intensity (L and R),17.13,Pre
11,2023-09-27,Forward,Average Intensity (L and R),17.94,Pre
11,2023-10-03,Forward,Average Intensity (L and R),16.45,Pre
11,2023-10-04,Forward,Average Intensity (L and R),17.02,Pre
11,2023-10-24,Forward,Average Intensity (L and R),15.93,Pre
11,2023-10-25,Forward,Average Intensity (L and R),16.41,Pre
12,2023-09-19,Guard,Average Intensity (L and R),11.36,Pre
12,2023-09-20,Guard,Average Intensity (L and R),12.88,Pre
12,2023-09-26,Guard,Average Intensity (L and R),9.97,Pre
12,2023-09-27,Guard,Average Intensity (L and R),13.73,Pre
12,2023-10-03,Guard,Average Intensity (L and R),12.13,Pre
12,2023-10-04,Guard,Average Intensity (L and R),12.59,Pre
12,2023-10-10,Guard,Average Intensity (L and R),10.91,Pre
12,2023-10-17,Guard,Average Intensity (L and R),10.04,Pre
12,2023-10-18,Guard,Average Intensity (L and R),14.29,Pre
12,2023-10-24,Guard,Average Intensity (L and R),14.02,Pre
13,2023-09-19,Forward,Average Intensity (L and R),11.79,Pre
13,2023-10-04,Forward,Average Intensity (L and R),10.96,Pre
13,2023-10-10,Forward,Average Intensity (L and R),10.41,Pre
13,2023-10-11,Forward,Average Intensity (L and R),10.99,Pre
13,2023-10-17,Forward,Average Intensity (L and R),10.84,Pre
13,2023-10-24,Forward,Average Intensity (L and R),12.13,Pre
14,2023-09-19,Forward,Average Intensity (L and R),13.13,Pre
14,2023-09-26,Forward,Average Intensity (L and R),11.08,Pre
14,2023-09-27,Forward,Average Intensity (L and R),11.17,Pre
14,2023-10-03,Forward,Average Intensity (L and R),10.69,Pre
14,2023-10-04,Forward,Average Intensity (L and R),11.18,Pre
1,2023-09-19,Forward,Jump Height (Imp-Mom) in Inches [in] ,13.7,Pre
2,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.4,Pre
2,2023-09-26,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.8,Pre
2,2023-09-27,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.5,Pre
2,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,19.0,Pre
2,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,19.4,Pre
2,2023-10-10,Guard,Jump Height (Imp-Mom) in Inches [in] ,19.6,Pre
2,2023-10-11,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.4,Pre
2,2023-10-17,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.6,Pre
2,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,19.7,Pre
2,2023-10-25,Guard,Jump Height (Imp-Mom) in Inches [in] ,18.2,Pre
3,2023-09-19,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.3,Pre
3,2023-09-20,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.0,Pre
3,2023-10-03,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.1,Pre
3,2023-10-04,Guard,Jump Height (Imp-Mom) in Inches [in] ,15.3,Pre
3,2023-10-11,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.2,Pre
3,2023-10-24,Guard,Jump Height (Imp-Mom) in Inches [in] ,16.8,Pre
